profileId,actionId,actionName,stageIndex,sourceClips,notifyId,notifyType,category,authority,timeSeconds,durationSeconds,timePlusDurationSeconds,animDeclaredEndSeconds,extendsBeyondDeclaredAnimation,assetReferences,serializedLabels,sourceOffset,resolutionStatus
MN_RPCZ_00,0,STAND,0,,action-0/stage-000/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Condition,619,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,1,,action-0/stage-001/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Idle_Normal_1,996,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,2,,action-0/stage-002/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,,1402,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,3,Idle_Normal_1,action-0/stage-003/notify-000,Anim,animation,PRESENTATION,0.0,3.8666670322418213,3.8666670322418213,3.8666670322418213,False,,Idle_Normal_1 ; Idle_Normal_1,1792,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,3,Idle_Normal_1,action-0/stage-003/notify-001,AKEvent,sound,PRESENTATION,0.0010000000474974513,2.499000072479248,2.5000000725267455,3.8666670322418213,False,S_Mob_G_KouKu1.G_KouKu1_IdleN1,IdleN1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_IdleN1',2078,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,0,STAND,4,Idle_Normal_1_1,action-0/stage-004/notify-000,Anim,animation,PRESENTATION,0.0,4.0,4.0,4.0,False,,Idle_Normal_1_1 ; Idle_Normal_1_1,2503,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,5,Idle_Normal_1_2,action-0/stage-005/notify-000,Anim,animation,PRESENTATION,0.0,3.200000047683716,3.200000047683716,3.200000047683716,False,,Idle_Normal_1_2 ; Idle_Normal_1_2,3024,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,6,Idle_Battle_1,action-0/stage-006/notify-000,Anim,animation,PRESENTATION,0.0,2.0,2.0,2.0,False,,Idle_Battle_1 ; Idle_Battle_1,3541,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,7,,action-0/stage-007/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,,4051,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,8,,action-0/stage-008/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Condition,4428,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,9,Idle_Burrow_Loop_1,action-0/stage-009/notify-000,Anim,animation,PRESENTATION,0.0,3.3333001136779785,3.3333001136779785,3.3333001136779785,False,,Idle_Burrow_Loop_1 ; Idle_Burrow_Loop_1,4799,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,10,Idle_Status1_Loop_1,action-0/stage-010/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status1_Loop_1 ; Idle_Status1_Loop_1,5324,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,11,Idle_Status2_Loop_1,action-0/stage-011/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status2_Loop_1 ; Idle_Status2_Loop_1,5851,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,12,Idle_Status3_Loop_1,action-0/stage-012/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status3_Loop_1 ; Idle_Status3_Loop_1,6378,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,13,0,action-0/stage-013/notify-000,Anim,animation,PRESENTATION,0.0,4.0,4.0,4.0,False,,0 ; 0,6906,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,14,,action-0/stage-014/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Condition,7393,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,15,Idle_FixedType_Loop_1,action-0/stage-015/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_FixedType_Loop_1 ; Idle_FixedType_Loop_1,7820,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,16,Idle_FlyingType_Loop_1,action-0/stage-016/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_FlyingType_Loop_1 ; Idle_FlyingType_Loop_1,8350,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,17,,action-0/stage-017/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,,8892,TIMING_OR_STATE_ONLY
MN_RPCZ_00,0,STAND,18,Idle_FixedType_Normal_1,action-0/stage-018/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_FixedType_Normal_1 ; Idle_FixedType_Normal_1,9316,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,19,Idle_FlyingType_Normal_1,action-0/stage-019/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_FlyingType_Normal_1 ; Idle_FlyingType_Normal_1,9850,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,20,Idle_Status1_Normal_1,action-0/stage-020/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status1_Normal_1 ; Idle_Status1_Normal_1,10387,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,21,Idle_Status2_Normal_1,action-0/stage-021/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status2_Normal_1 ; Idle_Status2_Normal_1,10918,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,0,STAND,22,Idle_Status3_Normal_1,action-0/stage-022/notify-000,Anim,animation,PRESENTATION,0.0,5.3333001136779785,5.3333001136779785,5.3333001136779785,False,,Idle_Status3_Normal_1 ; Idle_Status3_Normal_1,11449,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,0,,action-1/stage-000/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Condition,12079,TIMING_OR_STATE_ONLY
MN_RPCZ_00,1,MOVE,1,Walk_Normal_1,action-1/stage-001/notify-000,Anim,animation,PRESENTATION,0.0,1.3333330154418945,1.3333330154418945,1.3333330154418945,False,,Walk_Normal_1 ; Walk_Normal_1,12465,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,1,Walk_Normal_1,action-1/stage-001/notify-001,AKEvent,sound,PRESENTATION,0.0010000000474974513,1.332332968711853,1.3333329687593505,1.3333330154418945,False,S_Mob_G_KouKu1.G_KouKu1_Walk1,Walk1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_Walk1',12751,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,1,Walk_Normal_1,action-1/stage-001/notify-002,AKEvent,sound,PRESENTATION,0.25999999046325684,0.366688996553421,0.6266889870166779,1.3333330154418945,False,S_Mob_G_KouKu1.G_KouKu1_FootStep1,FootStep1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_FootStep1',12943,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,1,Walk_Normal_1,action-1/stage-001/notify-003,AKEvent,sound,PRESENTATION,0.949999988079071,0.366688996553421,1.316688984632492,1.3333330154418945,False,S_Mob_G_KouKu1.G_KouKu1_FootStep1,FootStep1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_FootStep1',13143,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,2,Run_Battle_1,action-1/stage-002/notify-000,Anim,animation,PRESENTATION,0.0,0.800000011920929,0.800000011920929,0.800000011920929,False,,Run_Battle_1 ; Run_Battle_1,13566,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,2,Run_Battle_1,action-1/stage-002/notify-001,AKEvent,sound,PRESENTATION,0.0010000000474974513,0.7990000247955322,0.8000000248430297,0.800000011920929,False,S_Mob_G_KouKu1.G_KouKu1_Run1,Run1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_Run1',13850,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,2,Run_Battle_1,action-1/stage-002/notify-002,AKEvent,sound,PRESENTATION,0.2800000011920929,0.366688996553421,0.6466889977455139,0.800000011920929,False,S_Mob_G_KouKu1.G_KouKu1_FootStep1,FootStep1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_FootStep1',14040,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,2,Run_Battle_1,action-1/stage-002/notify-003,AKEvent,sound,PRESENTATION,0.699999988079071,0.0,0.699999988079071,0.800000011920929,False,S_Mob_G_KouKu1.G_KouKu1_FootStep1,FootStep1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_FootStep1',14240,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,1,MOVE,3,Run_Burrow_1,action-1/stage-003/notify-000,Anim,animation,PRESENTATION,0.0,0.96670001745224,0.96670001745224,0.96670001745224,False,,Run_Burrow_1 ; Run_Burrow_1,14675,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,4,Fast_Run_Battle_1,action-1/stage-004/notify-000,Anim,animation,PRESENTATION,0.0,0.666700005531311,0.666700005531311,0.666700005531311,False,,Fast_Run_Battle_1 ; Fast_Run_Battle_1,15188,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,5,,action-1/stage-005/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,이동애니분기 ; Condition,15711,TIMING_OR_STATE_ONLY
MN_RPCZ_00,1,MOVE,6,,action-1/stage-006/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,이동애니분기 ; Condition,16108,TIMING_OR_STATE_ONLY
MN_RPCZ_00,1,MOVE,7,,action-1/stage-007/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,이동애니분기 ; Condition,16549,TIMING_OR_STATE_ONLY
MN_RPCZ_00,1,MOVE,8,Walk_Status1_1,action-1/stage-008/notify-000,Anim,animation,PRESENTATION,0.0,1.0,1.0,1.0,False,,Walk_Status1_1 ; Walk_Status1_1,17000,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,9,Walk_Status3_1,action-1/stage-009/notify-000,Anim,animation,PRESENTATION,0.0,1.0,1.0,1.0,False,,Walk_Status3_1 ; Walk_Status3_1,17525,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,10,Walk_Status2_1,action-1/stage-010/notify-000,Anim,animation,PRESENTATION,0.0,1.0,1.0,1.0,False,,Walk_Status2_1 ; Walk_Status2_1,18050,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,11,Run_Status1_1,action-1/stage-011/notify-000,Anim,animation,PRESENTATION,0.0,0.666700005531311,0.666700005531311,0.666700005531311,False,,Run_Status1_1 ; Run_Status1_1,18577,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,12,Run_Status2_1,action-1/stage-012/notify-000,Anim,animation,PRESENTATION,0.0,0.666700005531311,0.666700005531311,0.666700005531311,False,,Run_Status2_1 ; Run_Status2_1,19102,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,1,MOVE,13,Run_Status3_1,action-1/stage-013/notify-000,Anim,animation,PRESENTATION,0.0,0.666700005531311,0.666700005531311,0.666700005531311,False,,Run_Status3_1 ; Run_Status3_1,19627,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,3,FALLING,0,Run_Battle_1,action-3/stage-000/notify-000,Anim,animation,PRESENTATION,0.0,10.0,10.0,10.0,False,,Run_Battle_1 ; Run_Battle_1,20237,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,4,LAND,0,Idle_Normal_1,action-4/stage-000/notify-000,Anim,animation,PRESENTATION,0.0,3.8666670322418213,3.8666670322418213,3.8666670322418213,False,,Idle_Normal_1 ; Idle_Normal_1,20843,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,12,BEHIT,0,,action-12/stage-000/notify-000,Condition,other,REFERENCE_ONLY,0.0,0.0,0.0,0,False,,Condition,21452,TIMING_OR_STATE_ONLY
MN_RPCZ_00,12,BEHIT,1,KnockDown,action-12/stage-001/notify-000,Anim,animation,PRESENTATION,0.0,0.5,0.5,0.5,False,,KnockDown ; KnockDown_Land ; KnockDown,21943,SOURCE_CLIP_EXPLICIT
MN_RPCZ_00,12,BEHIT,1,KnockDown,action-12/stage-001/notify-001,AKEvent,sound,PRESENTATION,0.0010000000474974513,0.49900001287460327,0.5000000129221007,0.5,False,S_Mob_G_KouKu1.G_KouKu1_Down1,Down1 ; Sound ; AkEvent'S_Mob_G_KouKu1.G_KouKu1_Down1',22236,SOURCE_ASSET_EXPLICIT
MN_RPCZ_00,12,BEHIT,2,StandUp_1,action-12/stage-002/notify-000,Anim,animation,PRESENTATION,0.0,1.5333329439163208,1.5333329439163208,1.5333329439163208,False,,StandUp_1 ; StandUp_1,22725,SOURCE_CLIP_EXPLICIT
